"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Glycogen synthase kinase-3 beta","GSK3B","P49841","CHEMBL262","Kinase","0.141787380829","0 /  2     "
"Protein kinase C alpha","PRKCA","P17252","CHEMBL299","Kinase","0.0","0 /  168     "
"Protein-tyrosine phosphatase 1B","PTPN1","P18031","CHEMBL335","Phosphatase","0.0","0 /  9     "
"T-cell protein-tyrosine phosphatase","PTPN2","P17706","CHEMBL3807","Phosphatase","0.0","0 /  1     "
"Dual specificity phosphatase Cdc25B   (by homology)","CDC25B","P30305","CHEMBL4804","Phosphatase","0.0","0 /  3     "
"Low molecular weight phosphotyrosine protein phosphatase","ACP1","P24666","CHEMBL4903","Phosphatase","0.0","0 /  1     "
"Programmed cell death protein 4","PDCD4","Q53EL6","CHEMBL1781868","Unclassified protein","0.0","0 /  8     "
"Tubulin--tyrosine ligase","TTL","Q8NG68","CHEMBL5549","Enzyme","0.0","0 /  9     "
"Dual specificity protein phosphatase 3","DUSP3","P51452","CHEMBL2635","Phosphatase","0.0","0 /  1     "
"Protein kinase C delta","PRKCD","Q05655","CHEMBL2996","Kinase","0.0","0 /  22     "
"Isoleucyl-tRNA synthetase","IARS","P41252","CHEMBL3235","Enzyme","0.0","0 /  1     "
"Glutathione S-transferase Mu 1","GSTM1","P09488","CHEMBL2081","Enzyme","0.0","0 /  1     "
"Carbonic anhydrase II","CA2","P00918","CHEMBL205","Lyase","0.0","1 /  0     "
"Protein kinase C epsilon","PRKCE","Q02156","CHEMBL3582","Kinase","0.0","0 /  25     "
"Glutamate carboxypeptidase II","FOLH1","Q04609","CHEMBL1892","Protease","0.0","1 /  0     "
"Phosphodiesterase 4D","PDE4D","Q08499","CHEMBL288","Phosphodiesterase","0.0","0 /  1     "
"Telomerase reverse transcriptase","TERT","O14746","CHEMBL2916","Enzyme","0.0","0 /  1     "
"Ribosomal protein S6 kinase alpha 5","RPS6KA5","O75582","CHEMBL4237","Kinase","0.0","0 /  2     "
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 1","ATP2A1","O14983","CHEMBL3136","Hydrolase","0.0","0 /  2     "
"Proto-oncogene c-JUN","JUN","P05412","CHEMBL4977","Transcription factor","0.0","0 /  1     "
"Protein kinase C gamma","PRKCG","P05129","CHEMBL2938","Kinase","0.0","0 /  3     "
"Protein kinase C beta","PRKCB","P05771","CHEMBL3045","Kinase","0.0","0 /  6     "
"Proto-oncogene vav","VAV1","P15498","CHEMBL3259472","Unclassified protein","0.0","0 /  1     "
"Protein kinase C eta","PRKCH","P24723","CHEMBL3616","Kinase","0.0","0 /  4     "
"Protein kinase C theta","PRKCQ","Q04759","CHEMBL3920","Kinase","0.0","0 /  6     "
"Transient receptor potential cation channel subfamily V member 4   (by homology)","TRPV4","Q9HBA0","CHEMBL3119","Voltage-gated ion channel","0.0","0 /  4     "
"Lysine-specific demethylase 3A","KDM3A","Q9Y4C1","CHEMBL1938209","Eraser","0.0","1 /  0     "
"Lysine-specific demethylase 6B","KDM6B","O15054","CHEMBL1938211","Eraser","0.0","1 /  0     "
"Lysine-specific demethylase 5C","KDM5C","P41229","CHEMBL2163176","Eraser","0.0","1 /  0     "
"Hypoxia-inducible factor prolyl hydroxylase 1","EGLN2","Q96KS0","CHEMBL3028","Enzyme","0.0","1 /  0     "
"Egl nine homolog 1","EGLN1","Q9GZT9","CHEMBL5697","Oxidoreductase","0.0","1 /  0     "
"Cyclooxygenase-2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.0","0 /  4     "
"Voltage-gated potassium channel subunit Kv1.3","KCNA3","P22001","CHEMBL4633","Voltage-gated ion channel","0.0","0 /  2     "
"Signal transducer and activator of transcription 3","STAT3","P40763","CHEMBL4026","Transcription factor","0.0","0 /  3     "
"Interleukin-8 receptor A","CXCR1","P25024","CHEMBL4029","Family A G protein-coupled receptor","0.0","0 /  2     "
"Androgen Receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.0","0 /  6     "
"Proteinase-activated receptor 2","F2RL1","P55085","CHEMBL5963","Family A G protein-coupled receptor","0.0","0 /  1     "
"P-glycoprotein 1","ABCB1","P08183","CHEMBL4302","Primary active transporter","0.0","0 /  2     "
"Progesterone receptor","PGR","P06401","CHEMBL208","Nuclear receptor","0.0","0 /  2     "
"Peroxisome proliferator-activated receptor gamma","PPARG","P37231","CHEMBL235","Nuclear receptor","0.0","0 /  1     "
"Vacuolar ATP synthase subunit S1","ATP6AP1","Q15904","CHEMBL4790","Hydrolase","0.0","0 /  1     "
"Nuclear receptor ROR-gamma","RORC","P51449","CHEMBL1741186","Nuclear receptor","0.0","0 /  1     "
"Sodium/potassium-transporting ATPase alpha-1 chain","ATP1A1","P05023","CHEMBL1807","Primary active transporter","0.0","0 /  1     "
"Carbonic anhydrase IX","CA9","Q16790","CHEMBL3594","Lyase","0.0","0 /  1     "
"Carbonic anhydrase I","CA1","P00915","CHEMBL261","Lyase","0.0","1 /  1     "
