"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Aldose reductase","AKR1B1","P15121","CHEMBL1900","Enzyme","0.344394822316","3 /  40     "
"Carbonic anhydrase VII","CA7","P43166","CHEMBL2326","Lyase","0.0","1 /  9     "
"Carbonic anhydrase XII","CA12","O43570","CHEMBL3242","Lyase","0.0","1 /  9     "
"Tumour suppressor p53/oncoprotein Mdm2","TP53","P04637","CHEMBL4096","Transcription factor","0.0","2 /  0     "
"Protein kinase C gamma","PRKCG","P05129","CHEMBL2938","Kinase","0.0","17 /  0     "
"Protein kinase C beta","PRKCB","P05771","CHEMBL3045","Kinase","0.0","18 /  0     "
"cAMP-dependent protein kinase alpha-catalytic subunit","PRKACA","P17612","CHEMBL4101","Kinase","0.0","7 /  0     "
"Sodium/glucose cotransporter 2","SLC5A2","P31639","CHEMBL3884","Electrochemical transporter","0.0","0 /  11     "
"Arachidonate 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.0","0 /  43     "
"Squalene monooxygenase   (by homology)","SQLE","Q14534","CHEMBL3592","Enzyme","0.0","3 /  0     "
"P-glycoprotein 1","ABCB1","P08183","CHEMBL4302","Primary active transporter","0.0","0 /  36     "
"Equilibrative nucleoside transporter 1","SLC29A1","Q99808","CHEMBL1997","Electrochemical transporter","0.0","2 /  0     "
"Cyclin-dependent kinase 5/CDK5 activator 1","CDK5R1 CDK5","Q15078 Q00535","CHEMBL1907600","Kinase","0.0","0 /  16     "
"Troponin, cardiac muscle","TNNC1 TNNT2 TNNI3","P63316 P45379 P19429","CHEMBL2095202","Unclassified protein","0.0","1 /  0     "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.0","0 /  25     "
"Protein kinase C (PKC)","PRKCZ","Q05513","CHEMBL3438","Kinase","0.0","3 /  0     "
"Leucine-rich repeat serine/threonine-protein kinase 2","LRRK2","Q5S007","CHEMBL1075104","Kinase","0.0","0 /  1     "
"G protein-coupled receptor kinase 7","GRK7","Q8WTQ7","CHEMBL1075133","Kinase","0.0","0 /  1     "
"Homeodomain-interacting protein kinase 4","HIPK4","Q8NE63","CHEMBL1075167","Kinase","0.0","0 /  1     "
"Serine/threonine-protein kinase TAO2","TAOK2","Q9UL54","CHEMBL1075195","Kinase","0.0","0 /  1     "
"Serine/threonine-protein kinase MAK","MAK","P20794","CHEMBL1163106","Kinase","0.0","0 /  1     "
"Cyclin-dependent kinase-like 5","CDKL5","O76039","CHEMBL1163112","Kinase","0.0","0 /  1     "
"Serine/threonine-protein kinase ICK","ICK","Q9UPZ9","CHEMBL1163126","Kinase","0.0","0 /  1     "
"Serine/threonine-protein kinase VRK2","VRK2","Q86Y07","CHEMBL1649059","Enzyme","0.0","0 /  1     "
"Phosphatidylinositol-5-phosphate 4-kinase type-2 gamma","PIP4K2C","Q8TBX8","CHEMBL1770034","Enzyme","0.0","0 /  1     "
"Cyclin-dependent kinase 13","CDK13","Q14004","CHEMBL1795192","Enzyme","0.0","0 /  1     "
"Macrophage colony stimulating factor receptor","CSF1R","P07333","CHEMBL1844","Kinase","0.0","0 /  1     "
"Tyrosine-protein kinase ABL","ABL1","P00519","CHEMBL1862","Kinase","0.0","0 /  1     "
"Cyclin-dependent kinase 4/cyclin D1","CCND1 CDK4","P24385 P11802","CHEMBL1907601","Kinase","0.0","0 /  14     "
"Cyclin-dependent kinase 1/cyclin B1","CDK1 CCNB1","P06493 P14635","CHEMBL1907602","Other cytosolic protein","0.0","0 /  1     "
"Cyclin-dependent kinase 2/cyclin E1","CCNE1 CDK2","P24864 P24941","CHEMBL1907605","Kinase","0.0","0 /  1     "
"Phosphatidylinositol-4-phosphate 5-kinase type-1 gamma","PIP5K1C","O60331","CHEMBL1908383","Enzyme","0.0","0 /  1     "
"Dual serine/threonine and tyrosine protein kinase","DSTYK","Q6XUX3","CHEMBL1908386","Enzyme","0.0","0 /  1     "
"Stem cell growth factor receptor","KIT","P10721","CHEMBL1936","Kinase","0.0","0 /  2     "
"Tyrosine-protein kinase receptor FLT3","FLT3","P36888","CHEMBL1974","Kinase","0.0","0 /  7     "
"Platelet-derived growth factor receptor alpha","PDGFRA","P16234","CHEMBL2007","Kinase","0.0","0 /  1     "
"Epidermal growth factor receptor erbB1","EGFR","P00533","CHEMBL203","Kinase","0.0","0 /  13     "
"Ephrin type-A receptor 2","EPHA2","P29317","CHEMBL2068","Kinase","0.0","0 /  1     "
"Cyclin-dependent kinase 2/cyclin E","CCNE2 CDK2 CCNE1","O96020 P24941 P24864","CHEMBL2094126","Other cytosolic protein","0.0","0 /  2     "
"Cyclin-dependent kinase 1/cyclin B","CCNB3 CDK1 CCNB1 CCNB2","Q8WWL7 P06493 P14635 O95067","CHEMBL2094127","Other cytosolic protein","0.0","0 /  11     "
"Cyclin-dependent kinase 2/cyclin A","CDK2 CCNA1 CCNA2","P24941 P78396 P20248","CHEMBL2094128","Other cytosolic protein","0.0","0 /  1     "
"Cyclin-dependent kinase 4/cyclin D","CCND3 CCND1 CDK4 CCND2","P30281 P24385 P11802 P30279","CHEMBL2095942","Other cytosolic protein","0.0","0 /  1     "
"Dual specificity mitogen-activated protein kinase kinase 3","MAP2K3","P46734","CHEMBL2109","Kinase","0.0","0 /  1     "
"Cyclin-dependent kinase 7/ cyclin H","CDK7 CCNH","P50613 P51946","CHEMBL2111288","Other cytosolic protein","0.0","0 /  1     "
"CDK9/cyclin T1","CDK9 CCNT1","P50750 O60563","CHEMBL2111389","Other cytosolic protein","0.0","0 /  2     "
"Serine/threonine-protein kinase PIM1","PIM1","P11309","CHEMBL2147","Kinase","0.0","0 /  4     "
"Tyrosine-protein kinase JAK3","JAK3","P52333","CHEMBL2148","Kinase","0.0","0 /  1     "
"c-Jun N-terminal kinase 1","MAPK8","P45983","CHEMBL2276","Kinase","0.0","0 /  1     "
"Dual-specificity tyrosine-phosphorylation regulated kinase 1A","DYRK1A","Q13627","CHEMBL2292","Kinase","0.0","0 /  1     "
"Ribosomal protein S6 kinase alpha 3","RPS6KA3","P51812","CHEMBL2345","Kinase","0.0","0 /  14     "
"Phosphorylase kinase gamma subunit 2","PHKG2","P15735","CHEMBL2349","Kinase","0.0","0 /  1     "
"Casein kinase I gamma 1","CSNK1G1","Q9HCP0","CHEMBL2426","Kinase","0.0","0 /  1     "
"CaM kinase IV","CAMK4","Q16566","CHEMBL2494","Kinase","0.0","0 /  1     "
"Cyclin-dependent kinase 6","CDK6","Q00534","CHEMBL2508","Kinase","0.0","0 /  3     "
"Ribosomal protein S6 kinase alpha 1","RPS6KA1","Q15418","CHEMBL2553","Kinase","0.0","0 /  1     "
"Protein kinase C (PKC)","PRKD3","O94806","CHEMBL2595","Kinase","0.0","0 /  1     "
"Glycogen synthase kinase-3 beta","GSK3B","P49841","CHEMBL262","Kinase","0.0","0 /  4     "
"c-Jun N-terminal kinase 3","MAPK10","P53779","CHEMBL2637","Kinase","0.0","0 /  1     "
"Casein kinase I alpha","CSNK1A1","P48729","CHEMBL2793","Kinase","0.0","0 /  1     "
"CaM kinase II","CAMK2D","Q13557","CHEMBL2801","Kinase","0.0","0 /  1     "
"Glycogen synthase kinase-3 alpha","GSK3A","P49840","CHEMBL2850","Kinase","0.0","0 /  1     "
"Mitogen-activated protein kinase kinase kinase 9","MAP3K9","P80192","CHEMBL2872","Kinase","0.0","0 /  1     "
"Mitogen-activated protein kinase kinase kinase 10","MAP3K10","Q02779","CHEMBL2873","Kinase","0.0","0 /  1     "
"Dual specificity mitogen-activated protein kinase kinase 4","MAP2K4","P45985","CHEMBL2897","Kinase","0.0","0 /  1     "
"Tyrosine-protein kinase JAK2","JAK2","O60674","CHEMBL2971","Kinase","0.0","0 /  1     "
"Rho-associated protein kinase 2","ROCK2","O75116","CHEMBL2973","Kinase","0.0","0 /  1     "
"Receptor protein-tyrosine kinase erbB-4","ERBB4","Q15303","CHEMBL3009","Kinase","0.0","0 /  1     "
"Cyclin-dependent kinase 2","CDK2","P24941","CHEMBL301","Kinase","0.0","0 /  2     "
"Cyclin-dependent kinase 7","CDK7","P50613","CHEMBL3055","Kinase","0.0","0 /  1     "
"Cyclin-dependent kinase 1","CDK1","P06493","CHEMBL308","Kinase","0.0","0 /  5     "
"Cyclin-dependent kinase 9","CDK9","P50750","CHEMBL3116","Kinase","0.0","0 /  1     "
"Ribosomal protein S6 kinase alpha 4","RPS6KA4","O75676","CHEMBL3125","Kinase","0.0","0 /  1     "
"Rho-associated protein kinase 1","ROCK1","Q13464","CHEMBL3231","Kinase","0.0","0 /  1     "
"Cyclin-dependent kinase 4","CDK4","P11802","CHEMBL331","Kinase","0.0","0 /  2     "
"Interleukin-1 receptor-associated kinase 1","IRAK1","P51617","CHEMBL3357","Kinase","0.0","0 /  1     "
"Protein kinase N1","PKN1","Q16512","CHEMBL3384","Kinase","0.0","0 /  2     "
"Muscle glycogen phosphorylase","PYGM","P11217","CHEMBL3526","Enzyme","0.0","0 /  1     "
"Inhibitor of nuclear factor kappa B kinase epsilon subunit","IKBKE","Q14164","CHEMBL3529","Kinase","0.0","0 /  1     "
"Tyrosine-protein kinase TYK2","TYK2","P29597","CHEMBL3553","Kinase","0.0","0 /  1     "
"Interleukin-1 receptor-associated kinase 4","IRAK4","Q9NWZ3","CHEMBL3778","Kinase","0.0","0 /  1     "
"Serine/threonine-protein kinase PLK4","PLK4","O00444","CHEMBL3788","Kinase","0.0","0 /  1     "
"CaM kinase II gamma","CAMK2G","Q13555","CHEMBL3829","Kinase","0.0","0 /  1     "
"Adaptor-associated kinase","AAK1","Q2M2I8","CHEMBL3830","Kinase","0.0","0 /  1     "
"Protein kinase C mu","PRKD1","Q15139","CHEMBL3863","Kinase","0.0","0 /  1     "
"Ribosomal protein S6 kinase alpha 2","RPS6KA2","Q15349","CHEMBL3906","Kinase","0.0","0 /  1     "
"Protein kinase C theta","PRKCQ","Q04759","CHEMBL3920","Kinase","0.0","0 /  1     "
"Serine/threonine-protein kinase 17B","STK17B","O94768","CHEMBL3980","Kinase","0.0","0 /  1     "
"Ephrin type-A receptor 5","EPHA5","P54756","CHEMBL3987","Kinase","0.0","0 /  1     "
"Phosphorylase kinase gamma subunit 1","PHKG1","Q16816","CHEMBL4004","Kinase","0.0","0 /  1     "
"Cyclin-dependent kinase 5/CDK5 activator 1","CDK5","Q00535","CHEMBL4036","Kinase","0.0","0 /  1     "
"AMP-activated protein kinase, alpha-1 subunit","PRKAA1","Q13131","CHEMBL4045","Kinase","0.0","0 /  1     "
"CaM kinase II beta","CAMK2B","Q13554","CHEMBL4121","Kinase","0.0","0 /  2     "
"CaM kinase II alpha","CAMK2A","Q9UQM7","CHEMBL4147","Kinase","0.0","0 /  1     "
"MAP kinase signal-integrating kinase 2","MKNK2","Q9HBH9","CHEMBL4204","Kinase","0.0","0 /  1     "
"Tyrosine-protein kinase FRK","FRK","P42685","CHEMBL4223","Kinase","0.0","0 /  1     "
"Dual specificty protein kinase CLK1","CLK1","P49759","CHEMBL4224","Kinase","0.0","0 /  6     "
"Dual specificity protein kinase CLK2","CLK2","P49760","CHEMBL4225","Kinase","0.0","0 /  1     "
"Dual specificity protein kinase CLK3","CLK3","P49761","CHEMBL4226","Kinase","0.0","0 /  1     "
"Ribosomal protein S6 kinase alpha 5","RPS6KA5","O75582","CHEMBL4237","Kinase","0.0","0 /  1     "
"ALK tyrosine kinase receptor","ALK","Q9UM73","CHEMBL4247","Kinase","0.0","0 /  2     "
