"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Protein kinase C alpha","PRKCA","P17252","CHEMBL299","Kinase","0.951490730717","8 /  39     "
"Matrix metalloproteinase 2","MMP2","P08253","CHEMBL333","Protease","0.701948760224","25 /  5     "
"Matrix metalloproteinase 12","MMP12","P39900","CHEMBL4393","Protease","0.701948760224","11 /  7     "
"Matrix metalloproteinase 13","MMP13","P45452","CHEMBL280","Protease","0.074564954199","17 /  3     "
"Aldose reductase","AKR1B1","P15121","CHEMBL1900","Enzyme","0.074564954199","10 /  26     "
"Heat shock protein HSP 90-alpha","HSP90AA1","P07900","CHEMBL3880","Other cytosolic protein","0.074564954199","10 /  8     "
"Beta amyloid A4 protein","APP","P05067","CHEMBL2487","Membrane receptor","0.074564954199","3 /  6     "
"Inosine-5'-monophosphate dehydrogenase 1","IMPDH1","P20839","CHEMBL1822","Oxidoreductase","0.074564954199","51 /  0     "
"Inosine-5'-monophosphate dehydrogenase 2","IMPDH2","P12268","CHEMBL2002","Oxidoreductase","0.074564954199","58 /  0     "
"Matrix metalloproteinase 7","MMP7","P09237","CHEMBL4073","Protease","0.074564954199","4 /  0     "
"Matrix metalloproteinase 8","MMP8","P22894","CHEMBL4588","Protease","0.074564954199","18 /  0     "
"Galectin-1","LGALS1","P09382","CHEMBL4915","Other cytosolic protein","0.074564954199","4 /  0     "
"Aldo-keto reductase family 1 member B10","AKR1B10","O60218","CHEMBL5983","Enzyme","0.074564954199","1 /  17     "
"Matrix metalloproteinase 1","MMP1","P03956","CHEMBL332","Protease","0.074564954199","15 /  13     "
"Solute carrier family 28 member 3","SLC28A3","Q9HAS3","CHEMBL5707","Electrochemical transporter","0.074564954199","1 /  0     "
"Integrin alpha-V/beta-3","ITGAV ITGB3","P06756 P05106","CHEMBL1907598","Membrane receptor","0.0","81 /  0     "
"Integrin alpha-IIb/beta-3","ITGA2B ITGB3","P08514 P05106","CHEMBL2093869","Membrane receptor","0.0","87 /  0     "
"Integrin alpha-V/beta-5","ITGB5 ITGAV","P18084 P06756","CHEMBL2096675","Membrane receptor","0.0","22 /  0     "
"Integrin alpha-V/beta-1","ITGAV ITGB1","P06756 P05556","CHEMBL2111407","Membrane receptor","0.0","8 /  0     "
"Matrix metalloproteinase 9","MMP9","P14780","CHEMBL321","Protease","0.0","17 /  5     "
"Tyrosine-protein kinase FYN","FYN","P06241","CHEMBL1841","Kinase","0.0","0 /  2     "
"Transthyretin","TTR","P02766","CHEMBL3194","Secreted protein","0.0","0 /  3     "
"6-O-methylguanine-DNA methyltransferase","MGMT","P16455","CHEMBL2864","Enzyme","0.0","4 /  0     "
"Adenosine A2a receptor","ADORA2A","P29274","CHEMBL251","Family A G protein-coupled receptor","0.0","167 /  0     "
"Adenosine A3 receptor","ADORA3","P0DMS8","CHEMBL256","Family A G protein-coupled receptor","0.0","129 /  0     "
"Thrombin","F2","P00734","CHEMBL204","Protease","0.0","26 /  0     "
"Coagulation factor VII","F7","P08709","CHEMBL3991","Protease","0.0","6 /  0     "
"Galectin-4","LGALS4","P56470","CHEMBL1671608","Other cytosolic protein","0.0","2 /  0     "
"Galectin-8","LGALS8","O00214","CHEMBL5475","Other cytosolic protein","0.0","2 /  0     "
"Adenosine A2b receptor","ADORA2B","P29275","CHEMBL255","Family A G protein-coupled receptor","0.0","23 /  0     "
"Interleukin-1 receptor-associated kinase 4","IRAK4","Q9NWZ3","CHEMBL3778","Kinase","0.0","21 /  0     "
"C3a anaphylatoxin chemotactic receptor","C3AR1","Q16581","CHEMBL4761","Family A G protein-coupled receptor","0.0","8 /  0     "
"Transforming protein p21/H-Ras-1","HRAS","P01112","CHEMBL2167","Other cytosolic protein","0.0","3 /  0     "
"Ephrin receptor","EPHB4","P54760","CHEMBL5147","Kinase","0.0","1 /  0     "
"Hydroxycarboxylic acid receptor 2","HCAR2","Q8TDS4","CHEMBL3785","Family A G protein-coupled receptor","0.0","60 /  0     "
"Angiotensin-converting enzyme   (by homology)","ACE","P12821","CHEMBL1808","Protease","0.0","10 /  0     "
"Epoxide hydratase","EPHX2","P34913","CHEMBL2409","Protease","0.0","4 /  0     "
"Bis(5'-adenosyl)-triphosphatase","FHIT","P49789","CHEMBL1795151","Enzyme","0.0","1 /  0     "
"Receptor-type tyrosine-protein phosphatase alpha","PTPRA","P18433","CHEMBL3918","Phosphatase","0.0","6 /  0     "
"Thymidylate synthase   (by homology)","TYMS","P04818","CHEMBL1952","Transferase","0.0","44 /  0     "
"Sodium/nucleoside cotransporter 2","SLC28A2","O43868","CHEMBL5780","Electrochemical transporter","0.0","7 /  0     "
