"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"NADPH oxidase 4","NOX4","Q9NPH5","CHEMBL1250375","Enzyme","1.0","7 /  8     "
"Vasopressin V2 receptor","AVPR2","P30518","CHEMBL1790","Family A G protein-coupled receptor","1.0","1 /  1     "
"Aldose reductase","AKR1B1","P15121","CHEMBL1900","Enzyme","1.0","18 /  72     "
"Xanthine dehydrogenase","XDH","P47989","CHEMBL1929","Oxidoreductase","1.0","12 /  20     "
"Monoamine oxidase A","MAOA","P21397","CHEMBL1951","Oxidoreductase","1.0","4 /  14     "
"Insulin-like growth factor I receptor","IGF1R","P08069","CHEMBL1957","Kinase","1.0","3 /  3     "
"Tyrosine-protein kinase receptor FLT3","FLT3","P36888","CHEMBL1974","Kinase","1.0","5 /  7     "
"Cytochrome P450 19A1","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","1.0","5 /  18     "
"Epidermal growth factor receptor erbB1","EGFR","P00533","CHEMBL203","Kinase","1.0","5 /  28     "
"Thrombin","F2","P00734","CHEMBL204","Protease","1.0","11 /  3     "
"Carbonic anhydrase II","CA2","P00918","CHEMBL205","Lyase","1.0","7 /  15     "
"Serine/threonine-protein kinase PIM1","PIM1","P11309","CHEMBL2147","Kinase","1.0","7 /  7     "
"Arachidonate 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","1.0","5 /  46     "
"Serine/threonine-protein kinase Aurora-B","AURKB","Q96GD4","CHEMBL2185","Kinase","1.0","3 /  4     "
"Dopamine D4 receptor","DRD4","P21917","CHEMBL219","Family A G protein-coupled receptor","1.0","1 /  1     "
"Adenosine A1 receptor   (by homology)","ADORA1","P30542","CHEMBL226","Family A G protein-coupled receptor","1.0","6 /  23     "
"Carbonic anhydrase VII","CA7","P43166","CHEMBL2326","Lyase","1.0","8 /  14     "
"Glyoxalase I","GLO1","Q04760","CHEMBL2424","Enzyme","1.0","3 /  4     "
"Myeloperoxidase","MPO","P05164","CHEMBL2439","Enzyme","1.0","1 /  1     "
"PI3-kinase p85-alpha subunit","PIK3R1","P27986","CHEMBL2506","Enzyme","1.0","1 /  1     "
"Adenosine A2a receptor   (by homology)","ADORA2A","P29274","CHEMBL251","Family A G protein-coupled receptor","1.0","5 /  11     "
"Death-associated protein kinase 1","DAPK1","P53355","CHEMBL2558","Kinase","1.0","2 /  2     "
"Liver glycogen phosphorylase","PYGL","P06737","CHEMBL2568","Enzyme","1.0","1 /  1     "
"Carbonic anhydrase I","CA1","P00915","CHEMBL261","Lyase","1.0","3 /  5     "
"Glycogen synthase kinase-3 beta","GSK3B","P49841","CHEMBL262","Kinase","1.0","3 /  6     "
"Tyrosine-protein kinase SRC","SRC","P12931","CHEMBL267","Kinase","1.0","2 /  10     "
"Focal adhesion kinase 1","PTK2","Q05397","CHEMBL2695","Kinase","1.0","1 /  2     "
"Estradiol 17-beta-dehydrogenase 2","HSD17B2","P37059","CHEMBL2789","Enzyme","1.0","8 /  3     "
"Vascular endothelial growth factor receptor 2","KDR","P35968","CHEMBL279","Kinase","1.0","2 /  3     "
"Matrix metalloproteinase 13","MMP13","P45452","CHEMBL280","Protease","1.0","1 /  1     "
"Matrix metalloproteinase 3","MMP3","P08254","CHEMBL283","Protease","1.0","1 /  1     "
"Carbonic anhydrase III","CA3","P07451","CHEMBL2885","Lyase","1.0","1 /  1     "
"Arachidonate 15-lipoxygenase","ALOX15","P16050","CHEMBL2903","Enzyme","1.0","4 /  8     "
"Multidrug resistance-associated protein 1","ABCC1","P33527","CHEMBL3004","Primary active transporter","1.0","7 /  11     "
"Serine/threonine-protein kinase PLK1","PLK1","P53350","CHEMBL3024","Kinase","1.0","2 /  3     "
"Carbonic anhydrase VI","CA6","P23280","CHEMBL3025","Lyase","1.0","1 /  1     "
"Cyclin-dependent kinase 1","CDK1","P06493","CHEMBL308","Kinase","1.0","2 /  13     "
"Matrix metalloproteinase 9","MMP9","P14780","CHEMBL321","Protease","1.0","2 /  2     "
