"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Niemann-Pick C1-like protein 1","NPC1L1","Q9UHC9","CHEMBL2027","Other membrane protein","0.875914118523","13 /  13     "
"LXR-alpha","NR1H3","Q13133","CHEMBL2808","Nuclear receptor","0.747494949275","18 /  20     "
"Nuclear receptor ROR-gamma","RORC","P51449","CHEMBL1741186","Nuclear receptor","0.589276032706","11 /  9     "
"Testis-specific androgen-binding protein","SHBG","P04278","CHEMBL3305","Secreted protein","0.456018460382","0 /  48     "
"HMG-CoA reductase","HMGCR","P04035","CHEMBL402","Oxidoreductase","0.439393761626","14 /  7     "
"Cytochrome P450 17A1","CYP17A1","P05093","CHEMBL3522","Cytochrome P450","0.38940029876","2 /  50     "
"Sterol regulatory element-binding protein 2","SREBF2","Q12772","CHEMBL1795166","Unclassified protein","0.322747363996","1 /  1     "
"Cytochrome P450 19A1","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.314405075257","0 /  161     "
"Androgen Receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.256112183139","7 /  102     "
"Cytochrome P450 51   (by homology)","CYP51A1","Q16850","CHEMBL3849","Cytochrome P450","0.256112183139","3 /  2     "
"Nuclear receptor ROR-alpha","RORA","P35398","CHEMBL5868","Nuclear receptor","0.18109009917","3 /  3     "
"Estrogen receptor alpha","ESR1","P03372","CHEMBL206","Nuclear receptor","0.156149436769","1 /  39     "
"Estrogen receptor beta","ESR2","Q92731","CHEMBL242","Nuclear receptor","0.156149436769","1 /  47     "
"Protein-tyrosine phosphatase 1B","PTPN1","P18031","CHEMBL335","Phosphatase","0.139453235615","6 /  47     "
"Cytochrome P450 2C19","CYP2C19","P33261","CHEMBL3622","Cytochrome P450","0.131155749143","0 /  3     "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.114494790121","3 /  1     "
"Corticosteroid binding globulin","SERPINA6","P08185","CHEMBL2421","Secreted protein","0.114494790121","0 /  18     "
"Glucose-6-phosphate 1-dehydrogenase","G6PD","P11413","CHEMBL5347","Enzyme","0.114494790121","0 /  2     "
"Norepinephrine transporter","SLC6A2","P23975","CHEMBL222","Electrochemical transporter","0.114494790121","1 /  2     "
"Serotonin transporter","SLC6A4","P31645","CHEMBL228","Electrochemical transporter","0.106165761464","1 /  5     "
"Butyrylcholinesterase","BCHE","P06276","CHEMBL1914","Hydrolase","0.106165761464","1 /  2     "
