"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"NADPH oxidase 4","NOX4","Q9NPH5","CHEMBL1250375","Enzyme","1.0","6 /  8     "
"Aldose reductase   (by homology)","AKR1B1","P15121","CHEMBL1900","Enzyme","1.0","17 /  70     "
"Cyclin-dependent kinase 5/CDK5 activator 1","CDK5R1 CDK5","Q15078 Q00535","CHEMBL1907600","Kinase","1.0","6 /  18     "
"Xanthine dehydrogenase","XDH","P47989","CHEMBL1929","Oxidoreductase","1.0","12 /  20     "
"Monoamine oxidase A","MAOA","P21397","CHEMBL1951","Oxidoreductase","1.0","6 /  26     "
"Tyrosine-protein kinase receptor FLT3","FLT3","P36888","CHEMBL1974","Kinase","1.0","6 /  7     "
"Cytochrome P450 19A1","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","1.0","6 /  19     "
"Estrogen receptor alpha","ESR1","P03372","CHEMBL206","Nuclear receptor","1.0","76 /  49     "
"Cyclin-dependent kinase 1/cyclin B","CCNB3 CDK1 CCNB1 CCNB2","Q8WWL7 P06493 P14635 O95067","CHEMBL2094127","Other cytosolic protein","1.0","4 /  12     "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","1.0","4 /  26     "
"Adenosine A1 receptor   (by homology)","ADORA1","P30542","CHEMBL226","Family A G protein-coupled receptor","1.0","6 /  23     "
"Cyclooxygenase-2","PTGS2","P35354","CHEMBL230","Oxidoreductase","1.0","2 /  11     "
"Estrogen receptor beta","ESR2","Q92731","CHEMBL242","Nuclear receptor","1.0","96 /  52     "
"Cyclin-dependent kinase 6","CDK6","Q00534","CHEMBL2508","Kinase","1.0","3 /  4     "
"Adenosine A2a receptor   (by homology)","ADORA2A","P29274","CHEMBL251","Family A G protein-coupled receptor","1.0","5 /  11     "
"Tyrosine-protein kinase SYK","SYK","P43405","CHEMBL2599","Kinase","1.0","3 /  3     "
"Glycogen synthase kinase-3 beta","GSK3B","P49841","CHEMBL262","Kinase","1.0","3 /  7     "
