"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Carboxylesterase 2","CES2","O00748","CHEMBL3180","Enzyme","0.128531577649","0 /  12     "
"11-beta-hydroxysteroid dehydrogenase 1","HSD11B1","P28845","CHEMBL4235","Enzyme","0.128531577649","179 /  29     "
"Prostaglandin E synthase","PTGES","O14684","CHEMBL5658","Enzyme","0.128531577649","3 /  13     "
"Androgen Receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.128531577649","17 /  106     "
"Protein-tyrosine phosphatase 1B","PTPN1","P18031","CHEMBL335","Phosphatase","0.120225750913","7 /  70     "
"11-beta-hydroxysteroid dehydrogenase 2","HSD11B2","P80365","CHEMBL3746","Enzyme","0.120225750913","5 /  11     "
"Anandamide amidohydrolase","FAAH","O00519","CHEMBL2243","Enzyme","0.120225750913","66 /  15     "
"Cytochrome P450 17A1","CYP17A1","P05093","CHEMBL3522","Cytochrome P450","0.120225750913","16 /  19     "
"Taste receptor type 2 member 31","TAS2R31","P59538","CHEMBL2034804","Taste family G protein-coupled receptor","0.120225750913","0 /  1     "
"HMG-CoA reductase   (by homology)","HMGCR","P04035","CHEMBL402","Oxidoreductase","0.120225750913","0 /  95     "
"Glucocorticoid receptor","NR3C1","P04150","CHEMBL2034","Nuclear receptor","0.120225750913","34 /  22     "
"T-cell protein-tyrosine phosphatase","PTPN2","P17706","CHEMBL3807","Phosphatase","0.120225750913","0 /  24     "
"Aldo-keto reductase family 1 member C2","AKR1C2","P52895","CHEMBL5847","Enzyme","0.120225750913","0 /  1     "
"Aldo-keto reductase family 1 member C1","AKR1C1","Q04828","CHEMBL5905","Enzyme","0.120225750913","0 /  1     "
"Cytochrome P450 19A1","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.120225750913","36 /  131     "
"Progesterone receptor","PGR","P06401","CHEMBL208","Nuclear receptor","0.120225750913","23 /  43     "
"Estradiol 17-beta-dehydrogenase 2","HSD17B2","P37059","CHEMBL2789","Enzyme","0.120225750913","2 /  2     "
"Prolyl endopeptidase","PREP","P48147","CHEMBL3202","Protease","0.120225750913","0 /  3     "
"Cytochrome P450 2C19","CYP2C19","P33261","CHEMBL3622","Cytochrome P450","0.120225750913","1 /  6     "
"Potassium-transporting ATPase alpha chain 2","ATP12A","P54707","CHEMBL2933","Primary active transporter","0.120225750913","0 /  5     "
"Mineralocorticoid receptor","NR3C2","P08235","CHEMBL1994","Nuclear receptor","0.120225750913","11 /  18     "
"Cyclooxygenase-2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.120225750913","11 /  9     "
"Endothelial PAS domain-containing protein 1","EPAS1","Q99814","CHEMBL1744522","Unclassified protein","0.120225750913","0 /  1     "
"Arachidonate 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.120225750913","19 /  9     "
"Hypoxia-inducible factor 1 alpha","HIF1A","Q16665","CHEMBL4261","Transcription factor","0.120225750913","5 /  2     "
"Microsomal triglyceride transfer protein large subunit","MTTP","P55157","CHEMBL2569","Other cytosolic protein","0.120225750913","5 /  0     "
"Apolipoprotein B-100","APOB","P04114","CHEMBL4549","Secreted protein","0.120225750913","5 /  0     "
"Aldo-keto-reductase family 1 member C3","AKR1C3","P42330","CHEMBL4681","Enzyme","0.120225750913","5 /  1     "
"Protein kinase C alpha","PRKCA","P17252","CHEMBL299","Kinase","0.120225750913","0 /  85     "
"Monoamine oxidase A","MAOA","P21397","CHEMBL1951","Oxidoreductase","0.120225750913","9 /  1     "
"LXR-alpha","NR1H3","Q13133","CHEMBL2808","Nuclear receptor","0.120225750913","11 /  17     "
"LXR-beta","NR1H2","P55055","CHEMBL4093","Nuclear receptor","0.120225750913","11 /  1     "
"Induced myeloid leukemia cell differentiation protein Mcl-1","MCL1","Q07820","CHEMBL4361","Other cytosolic protein","0.120225750913","12 /  0     "
"Testis-specific androgen-binding protein","SHBG","P04278","CHEMBL3305","Secreted protein","0.120225750913","1 /  34     "
"Cannabinoid receptor 1   (by homology)","CNR1","P21554","CHEMBL218","Family A G protein-coupled receptor","0.120225750913","41 /  23     "
"Neurokinin 1 receptor","TACR1","P25103","CHEMBL249","Family A G protein-coupled receptor","0.120225750913","17 /  0     "
"MAP kinase p38 alpha","MAPK14","Q16539","CHEMBL260","Kinase","0.120225750913","79 /  0     "
"Squalene monooxygenase   (by homology)","SQLE","Q14534","CHEMBL3592","Enzyme","0.120225750913","0 /  2     "
"Corticosteroid binding globulin","SERPINA6","P08185","CHEMBL2421","Secreted protein","0.120225750913","0 /  13     "
"DNA polymerase alpha subunit","POLA1","P09884","CHEMBL1828","Transferase","0.0","0 /  7     "
"Cathepsin D","CTSD","P07339","CHEMBL2581","Protease","0.0","3 /  0     "
"Smoothened homolog","SMO","Q99835","CHEMBL5971","Frizzled family G protein-coupled receptor","0.0","23 /  0     "
"Protein farnesyltransferase","FNTA FNTB","P49354 P49356","CHEMBL2094108","Enzyme","0.0","54 /  9     "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.0","13 /  7     "
"LIM domain kinase 2","LIMK2","P53671","CHEMBL5932","Kinase","0.0","8 /  0     "
"Vascular endothelial growth factor receptor 1","FLT1","P17948","CHEMBL1868","Kinase","0.0","11 /  0     "
"Vascular endothelial growth factor receptor 2","KDR","P35968","CHEMBL279","Kinase","0.0","105 /  0     "
"Neuropeptide Y receptor type 5","NPY5R","Q15761","CHEMBL4561","Family A G protein-coupled receptor","0.0","50 /  0     "
"Protein-tyrosine phosphatase 1C","PTPN6","P29350","CHEMBL3166","Phosphatase","0.0","0 /  2     "
"C5a anaphylatoxin chemotactic receptor","C5AR1","P21730","CHEMBL2373","Family A G protein-coupled receptor","0.0","8 /  0     "
"Thrombin","F2","P00734","CHEMBL204","Protease","0.0","10 /  7     "
"Trypsin I","PRSS1","P07477","CHEMBL209","Protease","0.0","4 /  5     "
