"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Neuromedin-U receptor 2","NMUR2","Q9GZQ4","CHEMBL1075144","Family A G protein-coupled receptor","1.0","1 /  1     "
"Alpha-2a adrenergic receptor","ADRA2A","P08913","CHEMBL1867","Family A G protein-coupled receptor","1.0","1 /  1     "
"Adrenergic receptor alpha-2","ADRA2C","P18825","CHEMBL1916","Family A G protein-coupled receptor","1.0","2 /  2     "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","1.0","2 /  20     "
"Aldose reductase","AKR1B1","P15121","CHEMBL1900","Enzyme","0.59332095354","10 /  65     "
"NADPH oxidase 4","NOX4","Q9NPH5","CHEMBL1250375","Enzyme","0.448822366323","1 /  6     "
"Carbonic anhydrase VII","CA7","P43166","CHEMBL2326","Lyase","0.439870618639","4 /  13     "
"Carbonic anhydrase XII","CA12","O43570","CHEMBL3242","Lyase","0.439870618639","4 /  20     "
"Carbonic anhydrase IV","CA4","P22748","CHEMBL3729","Lyase","0.439870618639","4 /  10     "
"Carbonic anhydrase II","CA2","P00918","CHEMBL205","Lyase","0.401230341882","3 /  10     "
"Ribosomal protein S6 kinase alpha 3","RPS6KA3","P51812","CHEMBL2345","Kinase","0.257300262028","7 /  19     "
"Quinone reductase 2","NQO2","P16083","CHEMBL3959","Enzyme","0.229011931476","1 /  1     "
"Xanthine dehydrogenase","XDH","P47989","CHEMBL1929","Oxidoreductase","0.133198489461","2 /  16     "
"Lymphocyte differentiation antigen CD38","CD38","P28907","CHEMBL4660","Enzyme","0.0948793379634","0 /  2     "
"Cyclooxygenase-2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.0948793379634","1 /  4     "
"Phosphodiesterase 5A","PDE5A","O76074","CHEMBL1827","Phosphodiesterase","0.0661303830337","1 /  6     "
"TNF-alpha","TNF","P01375","CHEMBL1825","Secreted protein","0.0661303830337","0 /  3     "
"Interleukin-2","IL2","P60568","CHEMBL5880","Secreted protein","0.0661303830337","0 /  4     "
"Adenosine A1 receptor   (by homology)","ADORA1","P30542","CHEMBL226","Family A G protein-coupled receptor","0.0661303830337","0 /  13     "
"Arachidonate 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.0661303830337","0 /  45     "
"Telomerase reverse transcriptase","TERT","O14746","CHEMBL2916","Enzyme","0.0661303830337","0 /  6     "
"Adenosine A3 receptor","ADORA3","P0DMS8","CHEMBL256","Family A G protein-coupled receptor","0.0","0 /  13     "
"Transitional endoplasmic reticulum ATPase","VCP","P55072","CHEMBL1075145","Primary active transporter","0.0","1 /  0     "
"Equilibrative nucleoside transporter 1","SLC29A1","Q99808","CHEMBL1997","Electrochemical transporter","0.0","2 /  0     "
"Troponin, cardiac muscle","TNNC1 TNNT2 TNNI3","P63316 P45379 P19429","CHEMBL2095202","Unclassified protein","0.0","1 /  0     "
"Squalene monooxygenase   (by homology)","SQLE","Q14534","CHEMBL3592","Enzyme","0.0","2 /  0     "
"Plasminogen","PLG","P00747","CHEMBL1801","Protease","0.0","0 /  2     "
"ATP-binding cassette sub-family G member 2","ABCG2","Q9UNQ0","CHEMBL5393","Primary active transporter","0.0","0 /  37     "
"Cytochrome P450 1B1","CYP1B1","Q16678","CHEMBL4878","Cytochrome P450","0.0","0 /  32     "
"Voltage-gated potassium channel subunit Kv1.3","KCNA3","P22001","CHEMBL4633","Voltage-gated ion channel","0.0","0 /  2     "
"Tyrosyl-DNA phosphodiesterase 1","TDP1","Q9NUW8","CHEMBL1075138","Enzyme","0.0","1 /  0     "
"Tumour suppressor p53/oncoprotein Mdm2","TP53","P04637","CHEMBL4096","Transcription factor","0.0","1 /  0     "
"Estrogen receptor alpha","ESR1","P03372","CHEMBL206","Nuclear receptor","0.0","1 /  0     "
"Plasminogen activator inhibitor-1","SERPINE1","P05121","CHEMBL3475","Secreted protein","0.0","2 /  0     "
"Protein kinase C gamma","PRKCG","P05129","CHEMBL2938","Kinase","0.0","13 /  0     "
"Protein kinase C delta","PRKCD","Q05655","CHEMBL2996","Kinase","0.0","16 /  0     "
"Protein kinase C alpha","PRKCA","P17252","CHEMBL299","Kinase","0.0","16 /  0     "
"Protein kinase C beta","PRKCB","P05771","CHEMBL3045","Kinase","0.0","17 /  0     "
"Protein kinase C (PKC)","PRKCZ","Q05513","CHEMBL3438","Kinase","0.0","4 /  0     "
"Protein kinase C epsilon","PRKCE","Q02156","CHEMBL3582","Kinase","0.0","17 /  0     "
"Protein kinase C eta","PRKCH","P24723","CHEMBL3616","Kinase","0.0","16 /  0     "
"cAMP-dependent protein kinase alpha-catalytic subunit","PRKACA","P17612","CHEMBL4101","Kinase","0.0","4 /  0     "
"Beta amyloid A4 protein","APP","P05067","CHEMBL2487","Membrane receptor","0.0","0 /  2     "
"Thrombin and coagulation factor X","F10","P00742","CHEMBL244","Protease","0.0","2 /  0     "
"Metastin receptor","KISS1R","Q969F8","CHEMBL5413","Family A G protein-coupled receptor","0.0","1 /  0     "
"Induced myeloid leukemia cell differentiation protein Mcl-1","MCL1","Q07820","CHEMBL4361","Other cytosolic protein","0.0","0 /  1     "
"Serine/threonine-protein kinase Chk2","CHEK2","O96017","CHEMBL2527","Kinase","0.0","1 /  0     "
"Serine/threonine-protein kinase Chk1","CHEK1","O14757","CHEMBL4630","Kinase","0.0","1 /  0     "
"Aldehyde dehydrogenase","ALDH2","P05091","CHEMBL1935","Oxidoreductase","0.0","0 /  2     "
"Heat shock protein HSP 90-beta","HSP90AB1","P08238","CHEMBL4303","Other cytosolic protein","0.0","1 /  0     "
"HERG","KCNH2","Q12809","CHEMBL240","Voltage-gated ion channel","0.0","1 /  0     "
"C-C chemokine receptor type 1","CCR1","P32246","CHEMBL2413","Family A G protein-coupled receptor","0.0","1 /  0     "
"Carbonic anhydrase I","CA1","P00915","CHEMBL261","Lyase","0.0","0 /  7     "
"Carbonic anhydrase IX","CA9","Q16790","CHEMBL3594","Lyase","0.0","0 /  10     "
"Carbonic anhydrase XIII","CA13","Q8N1Q1","CHEMBL3912","Lyase","0.0","0 /  3     "
"Epidermal growth factor receptor erbB1","EGFR","P00533","CHEMBL203","Kinase","0.0","0 /  11     "
"Adenosine A2a receptor   (by homology)","ADORA2A","P29274","CHEMBL251","Family A G protein-coupled receptor","0.0","0 /  5     "
"Microtubule-associated protein tau","MAPT","P10636","CHEMBL1293224","Unclassified protein","0.0","0 /  1     "
"Lysine-specific demethylase 4D-like","KDM4E","B2RXH2","CHEMBL1293226","Eraser","0.0","0 /  1     "
"G-protein coupled receptor 35","GPR35","Q9HC97","CHEMBL1293267","Family A G protein-coupled receptor","0.0","0 /  2     "
"Vasopressin V2 receptor","AVPR2","P30518","CHEMBL1790","Family A G protein-coupled receptor","0.0","0 /  1     "
"DNA topoisomerase II alpha","TOP2A","P11388","CHEMBL1806","Isomerase","0.0","0 /  1     "
"Monoamine oxidase A","MAOA","P21397","CHEMBL1951","Oxidoreductase","0.0","0 /  2     "
"Insulin-like growth factor I receptor","IGF1R","P08069","CHEMBL1957","Kinase","0.0","0 /  1     "
"Tyrosine-protein kinase receptor FLT3","FLT3","P36888","CHEMBL1974","Kinase","0.0","0 /  5     "
"Cytochrome P450 19A1","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.0","0 /  2     "
"Insulin receptor","INSR","P06213","CHEMBL1981","Kinase","0.0","0 /  1     "
"Thrombin","F2","P00734","CHEMBL204","Protease","0.0","0 /  2     "
"Serine/threonine-protein kinase PIM1","PIM1","P11309","CHEMBL2147","Kinase","0.0","0 /  3     "
"Serine/threonine-protein kinase Aurora-B","AURKB","Q96GD4","CHEMBL2185","Kinase","0.0","0 /  1     "
"Dopamine D4 receptor","DRD4","P21917","CHEMBL219","Family A G protein-coupled receptor","0.0","0 /  1     "
"Glyoxalase I","GLO1","Q04760","CHEMBL2424","Enzyme","0.0","0 /  4     "
"Myosin light chain kinase, smooth muscle","MYLK","Q15746","CHEMBL2428","Kinase","0.0","0 /  1     "
"Myeloperoxidase","MPO","P05164","CHEMBL2439","Enzyme","0.0","0 /  1     "
"PI3-kinase p85-alpha subunit","PIK3R1","P27986","CHEMBL2506","Enzyme","0.0","0 /  1     "
"Death-associated protein kinase 1","DAPK1","P53355","CHEMBL2558","Kinase","0.0","0 /  2     "
"Liver glycogen phosphorylase","PYGL","P06737","CHEMBL2568","Enzyme","0.0","0 /  1     "
"Tyrosine-protein kinase SYK","SYK","P43405","CHEMBL2599","Kinase","0.0","0 /  2     "
"Glycogen synthase kinase-3 beta","GSK3B","P49841","CHEMBL262","Kinase","0.0","0 /  2     "
"Focal adhesion kinase 1","PTK2","Q05397","CHEMBL2695","Kinase","0.0","0 /  1     "
"Estradiol 17-beta-dehydrogenase 2","HSD17B2","P37059","CHEMBL2789","Enzyme","0.0","0 /  2     "
"Vascular endothelial growth factor receptor 2","KDR","P35968","CHEMBL279","Kinase","0.0","0 /  1     "
"Matrix metalloproteinase 13","MMP13","P45452","CHEMBL280","Protease","0.0","0 /  1     "
"Matrix metalloproteinase 3","MMP3","P08254","CHEMBL283","Protease","0.0","0 /  1     "
"Carbonic anhydrase III","CA3","P07451","CHEMBL2885","Lyase","0.0","0 /  1     "
"Arachidonate 15-lipoxygenase","ALOX15","P16050","CHEMBL2903","Enzyme","0.0","0 /  3     "
"Serine/threonine-protein kinase PLK1","PLK1","P53350","CHEMBL3024","Kinase","0.0","0 /  1     "
"Carbonic anhydrase VI","CA6","P23280","CHEMBL3025","Lyase","0.0","0 /  1     "
"Cyclin-dependent kinase 1","CDK1","P06493","CHEMBL308","Kinase","0.0","0 /  1     "
"Matrix metalloproteinase 9","MMP9","P14780","CHEMBL321","Protease","0.0","0 /  2     "
"PI3-kinase p110-gamma subunit","PIK3CG","P48736","CHEMBL3267","Enzyme","0.0","0 /  1     "
"Matrix metalloproteinase 2","MMP2","P08253","CHEMBL333","Protease","0.0","0 /  2     "
"Protein kinase N1","PKN1","Q16512","CHEMBL3384","Kinase","0.0","0 /  1     "
"Carbonic anhydrase XIV","CA14","Q9ULX7","CHEMBL3510","Lyase","0.0","0 /  1     "
"Casein kinase II alpha","CSNK2A1","P68400","CHEMBL3629","Kinase","0.0","0 /  1     "
"Arachidonate 12-lipoxygenase","ALOX12","P18054","CHEMBL3687","Enzyme","0.0","0 /  2     "
"Hepatocyte growth factor receptor","MET","P08581","CHEMBL3717","Kinase","0.0","0 /  1     "
"Serine/threonine-protein kinase NEK2","NEK2","P51955","CHEMBL3835","Kinase","0.0","0 /  1     "
"Interleukin-8 receptor A","CXCR1","P25024","CHEMBL4029","Family A G protein-coupled receptor","0.0","0 /  1     "
"CaM kinase II beta","CAMK2B","Q13554","CHEMBL4121","Kinase","0.0","0 /  1     "
