"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"NADPH oxidase 4","NOX4","Q9NPH5","CHEMBL1250375","Enzyme","1.0","6 /  8     "
"Aldose reductase","AKR1B1","P15121","CHEMBL1900","Enzyme","1.0","17 /  71     "
"Cyclin-dependent kinase 5/CDK5 activator 1","CDK5R1 CDK5","Q15078 Q00535","CHEMBL1907600","Kinase","1.0","6 /  18     "
"Xanthine dehydrogenase","XDH","P47989","CHEMBL1929","Oxidoreductase","1.0","12 /  20     "
"Monoamine oxidase A","MAOA","P21397","CHEMBL1951","Oxidoreductase","1.0","5 /  18     "
"Tyrosine-protein kinase receptor FLT3","FLT3","P36888","CHEMBL1974","Kinase","1.0","5 /  7     "
"Carbonic anhydrase II","CA2","P00918","CHEMBL205","Lyase","1.0","8 /  14     "
"Cyclin-dependent kinase 1/cyclin B","CCNB3 CDK1 CCNB1 CCNB2","Q8WWL7 P06493 P14635 O95067","CHEMBL2094127","Other cytosolic protein","1.0","4 /  11     "
"Arachidonate 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","1.0","5 /  47     "
"Adenosine A1 receptor   (by homology)","ADORA1","P30542","CHEMBL226","Family A G protein-coupled receptor","1.0","6 /  23     "
"Carbonic anhydrase VII","CA7","P43166","CHEMBL2326","Lyase","1.0","8 /  11     "
"Glyoxalase I","GLO1","Q04760","CHEMBL2424","Enzyme","1.0","3 /  4     "
"Beta amyloid A4 protein","APP","P05067","CHEMBL2487","Membrane receptor","1.0","2 /  12     "
"Tyrosine-protein kinase SYK","SYK","P43405","CHEMBL2599","Kinase","1.0","3 /  3     "
"Glycogen synthase kinase-3 beta","GSK3B","P49841","CHEMBL262","Kinase","1.0","3 /  7     "
"Poly [ADP-ribose] polymerase-1","PARP1","P09874","CHEMBL3105","Enzyme","1.0","3 /  9     "
"Transthyretin","TTR","P02766","CHEMBL3194","Secreted protein","1.0","2 /  2     "
"Matrix metalloproteinase 9","MMP9","P14780","CHEMBL321","Protease","1.0","2 /  2     "
"Carbonic anhydrase XII","CA12","O43570","CHEMBL3242","Lyase","1.0","10 /  15     "
"Matrix metalloproteinase 2","MMP2","P08253","CHEMBL333","Protease","1.0","2 /  2     "
"Carbonic anhydrase IV","CA4","P22748","CHEMBL3729","Lyase","1.0","7 /  10     "
"Matrix metalloproteinase 12","MMP12","P39900","CHEMBL4393","Protease","1.0","1 /  1     "
"Lymphocyte differentiation antigen CD38","CD38","P28907","CHEMBL4660","Enzyme","1.0","2 /  2     "
"Cytochrome P450 1B1","CYP1B1","Q16678","CHEMBL4878","Cytochrome P450","1.0","12 /  46     "
"ATP-binding cassette sub-family G member 2","ABCG2","Q9UNQ0","CHEMBL5393","Primary active transporter","1.0","6 /  49     "
"Aldo-keto reductase family 1 member B10","AKR1B10","O60218","CHEMBL5983","Enzyme","1.0","2 /  3     "
"Tankyrase-2","TNKS2","Q9H2K2","CHEMBL6154","Enzyme","1.0","4 /  12     "
"Tankyrase-1","TNKS","O95271","CHEMBL6164","Enzyme","1.0","4 /  28     "
"DNA topoisomerase I   (by homology)","TOP1","P11387","CHEMBL1781","Isomerase","1.0","1 /  1     "
"Arginase-1   (by homology)","ARG1","P05089","CHEMBL1075097","Enzyme","1.0","2 /  2     "
"Receptor-type tyrosine-protein phosphatase S","PTPRS","Q13332","CHEMBL2396508","Phosphatase","0.85702273779","7 /  8     "
"Multidrug resistance-associated protein 1","ABCC1","P33527","CHEMBL3004","Primary active transporter","0.658019737641","7 /  11     "
"Estradiol 17-beta-dehydrogenase 1","HSD17B1","P14061","CHEMBL3181","Enzyme","0.658019737641","10 /  4     "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.600411799834","4 /  27     "
"Cyclin-dependent kinase 6","CDK6","Q00534","CHEMBL2508","Kinase","0.600411799834","3 /  4     "
"P-glycoprotein 1","ABCB1","P08183","CHEMBL4302","Primary active transporter","0.534504956631","12 /  48     "
"Estradiol 17-beta-dehydrogenase 2","HSD17B2","P37059","CHEMBL2789","Enzyme","0.468552735936","10 /  3     "
"Cytochrome P450 19A1","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.460288741977","6 /  19     "
"Estrogen receptor beta","ESR2","Q92731","CHEMBL242","Nuclear receptor","0.460288741977","84 /  36     "
"Adenosine A2a receptor   (by homology)","ADORA2A","P29274","CHEMBL251","Family A G protein-coupled receptor","0.460288741977","5 /  11     "
"Casein kinase II alpha","CSNK2A1","P68400","CHEMBL3629","Kinase","0.460288741977","3 /  2     "
"Arachidonate 15-lipoxygenase","ALOX15","P16050","CHEMBL2903","Enzyme","0.435520295391","6 /  8     "
"Arachidonate 12-lipoxygenase","ALOX12","P18054","CHEMBL3687","Enzyme","0.435520295391","9 /  11     "
"Estrogen receptor alpha","ESR1","P03372","CHEMBL206","Nuclear receptor","0.38621198379","66 /  37     "
"Cyclooxygenase-2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.38621198379","1 /  12     "
"Cystic fibrosis transmembrane conductance regulator","CFTR","P13569","CHEMBL4051","Other ion channel","0.38621198379","1 /  1     "
"AMY1C","AMY1A","P04745","CHEMBL2478","Enzyme","0.361228277245","1 /  1     "
"G protein-coupled receptor kinase 6","GRK6","P43250","CHEMBL6144","Kinase","0.361228277245","2 /  4     "
