"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"ATP-binding cassette sub-family G member 2","ABCG2","Q9UNQ0","CHEMBL5393","Primary active transporter","0.93648671612","84 /  49     "
"Aldose reductase","AKR1B1","P15121","CHEMBL1900","Enzyme","0.420300065815","23 /  68     "
"Delta opioid receptor   (by homology)","OPRD1","P41143","CHEMBL236","Family A G protein-coupled receptor","0.262300014623","23 /  5     "
"Cytochrome P450 1B1","CYP1B1","Q16678","CHEMBL4878","Cytochrome P450","0.253545671398","18 /  46     "
"Stem cell growth factor receptor","KIT","P10721","CHEMBL1936","Kinase","0.157071962631","103 /  2     "
"Mu opioid receptor","OPRM1","P35372","CHEMBL233","Family A G protein-coupled receptor","0.121986395249","44 /  1     "
"Carbonic anhydrase II","CA2","P00918","CHEMBL205","Lyase","0.113206574926","348 /  17     "
"Arachidonate 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.113206574926","104 /  47     "
"Cyclooxygenase-2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.0956634871844","111 /  21     "
"NADPH oxidase 4","NOX4","Q9NPH5","CHEMBL1250375","Enzyme","0.0956634871844","19 /  7     "
"Nitric oxide synthase, inducible","NOS2","P35228","CHEMBL4481","Enzyme","0.0956634871844","64 /  3     "
"Adenosine A3 receptor","ADORA3","P0DMS8","CHEMBL256","Family A G protein-coupled receptor","0.0956634871844","375 /  20     "
"Carbonic anhydrase XII","CA12","O43570","CHEMBL3242","Lyase","0.0956634871844","231 /  19     "
"Adenosine A1 receptor   (by homology)","ADORA1","P30542","CHEMBL226","Family A G protein-coupled receptor","0.0956634871844","616 /  22     "
"Adenosine A2a receptor   (by homology)","ADORA2A","P29274","CHEMBL251","Family A G protein-coupled receptor","0.0956634871844","604 /  10     "
"Carbonic anhydrase VII","CA7","P43166","CHEMBL2326","Lyase","0.0","58 /  17     "
"Beta amyloid A4 protein","APP","P05067","CHEMBL2487","Membrane receptor","0.0","35 /  9     "
"Carbonic anhydrase I","CA1","P00915","CHEMBL261","Lyase","0.0","323 /  9     "
"Serine/threonine-protein kinase PLK1","PLK1","P53350","CHEMBL3024","Kinase","0.0","112 /  3     "
"Telomerase reverse transcriptase","TERT","O14746","CHEMBL2916","Enzyme","0.0","28 /  22     "
"Tyrosine-protein kinase SYK","SYK","P43405","CHEMBL2599","Kinase","0.0","406 /  3     "
"Multidrug resistance-associated protein 1","ABCC1","P33527","CHEMBL3004","Primary active transporter","0.0","16 /  11     "
"Plasminogen","PLG","P00747","CHEMBL1801","Protease","0.0","1 /  2     "
"Tyrosine-protein kinase SRC","SRC","P12931","CHEMBL267","Kinase","0.0","214 /  10     "
"Tyrosine-protein kinase receptor FLT3","FLT3","P36888","CHEMBL1974","Kinase","0.0","188 /  6     "
"Epidermal growth factor receptor erbB1","EGFR","P00533","CHEMBL203","Kinase","0.0","465 /  25     "
"Hepatocyte growth factor receptor","MET","P08581","CHEMBL3717","Kinase","0.0","606 /  4     "
"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3","PFKFB3","Q16875","CHEMBL2331053","Enzyme","0.0","156 /  2     "
"Vascular endothelial growth factor receptor 2","KDR","P35968","CHEMBL279","Kinase","0.0","824 /  3     "
"Carbonic anhydrase IV","CA4","P22748","CHEMBL3729","Lyase","0.0","8 /  12     "
"Cyclin-dependent kinase 1","CDK1","P06493","CHEMBL308","Kinase","0.0","120 /  8     "
"P-glycoprotein 1","ABCB1","P08183","CHEMBL4302","Primary active transporter","0.0","100 /  47     "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.0","94 /  30     "
"Glycogen synthase kinase-3 beta","GSK3B","P49841","CHEMBL262","Kinase","0.0","338 /  4     "
"CaM kinase II beta","CAMK2B","Q13554","CHEMBL4121","Kinase","0.0","1 /  1     "
"Matrix metalloproteinase 13","MMP13","P45452","CHEMBL280","Protease","0.0","155 /  1     "
"Xanthine dehydrogenase","XDH","P47989","CHEMBL1929","Oxidoreductase","0.0","4 /  21     "
"Serine/threonine-protein kinase Aurora-B","AURKB","Q96GD4","CHEMBL2185","Kinase","0.0","292 /  4     "
"Poly [ADP-ribose] polymerase-1","PARP1","P09874","CHEMBL3105","Enzyme","0.0","283 /  9     "
"Thrombin","F2","P00734","CHEMBL204","Protease","0.0","151 /  2     "
"Carbonic anhydrase IX","CA9","Q16790","CHEMBL3594","Lyase","0.0","230 /  8     "
